old_clause_number,new_clause_number,predicted_change_type,similarity,method,old_text,new_text,gold_change_type,notes
0.5,0.5,unchanged,1.0,exact_number+difflib,Guidance on matters that refer to more than one section of this document can be found in the following appendices.,Guidance on matters that refer to more than one section of this document can be found in the following appendices.,,
0.6,0.6,unchanged,1.0,exact_number+difflib,"The Building Regulations do not impose any requirements on the management of a building, but do assume that it will be properly managed. This includes, for example, keeping protected escape routes virtually ‘fire sterile’. Appropriate fire safety design considers the way in which a building will be managed. Any reliance on an unrealistic or unsustainable management regime cannot be considered to have met the requirements of the regulations. Once the building is in use, the management regime should be maintained and a suitable risk assessment undertaken for any variation in that regime. Failure to take proper management responsibility may result in the prosecution of an employer, building owner or occupier under legislation such as the Regulatory Reform (Fire Safety) Order 2005.","The Building Regulations do not impose any requirements on the management of a building, but do assume that it will be properly managed. This includes, for example, keeping protected escape routes virtually ‘fire sterile’. Appropriate fire safety design considers the way in which a building will be managed. Any reliance on an unrealistic or unsustainable management regime cannot be considered to have met the requirements of the regulations. Once the building is in use, the management regime should be maintained and a suitable risk assessment undertaken for any variation in that regime. Failure to take proper management responsibility may result in the prosecution of an employer, building owner or occupier under legislation such as the Regulatory Reform (Fire Safety) Order 2005.",,
0.7,0.7,unchanged,1.0,exact_number+difflib,"The Building Regulations are intended to ensure a reasonable standard of life safety in a fire. The protection of property, including the building itself, often requires additional measures. Insurers usually set higher standards before accepting the insurance risk. Many insurers use the RISCAuthority Design Guide for the Fire Protection of Buildings by the Fire Protection Association (FPA) as a basis for providing guidance to the building designer on what they require. Further information on the protection of property can be obtained from the FPA website: www.thefpa.co.uk.","The Building Regulations are intended to ensure a reasonable standard of life safety in a fire. The protection of property, including the building itself, often requires additional measures. Insurers usually set higher standards before accepting the insurance risk. Many insurers use the RISCAuthority Design Guide for the Fire Protection of Buildings by the Fire Protection Association (FPA) as a basis for providing guidance to the building designer on what they require. Further information on the protection of property can be obtained from the FPA website: www.thefpa.co.uk.",,
0.8,0.8,unchanged,1.0,exact_number+difflib,"The fire safety aspects of the Building Regulations aim to achieve reasonable standards of health and safety for people in and around buildings. People, regardless of ability, age or gender, should be able to access buildings and use their facilities. The fire safety measures incorporated into a building should take account of the needs of everyone who may access the building, both as visitors and as people who live or work in it. It is not appropriate, except in exceptional circumstances, to assume that certain groups of people will be excluded from a building because of its use. The provisions in this approved document are considered to be of a reasonable standard for most buildings. However, some people’s specific needs might not be addressed. In some situations, additional measures may be needed to accommodate these needs. This should be done on a case- by-case basis.","The fire safety aspects of the Building Regulations aim to achieve reasonable standards of health and safety for people in and around buildings. People, regardless of ability, age or gender, should be able to access buildings and use their facilities. The fire safety measures incorporated into a building should take account of the needs of everyone who may access the building, both as visitors and as people who live or work in it. It is not appropriate, except in exceptional circumstances, to assume that certain groups of people will be excluded from a building because of its use. The provisions in this approved document are considered to be of a reasonable standard for most buildings. However, some people’s specific needs might not be addressed. In some situations, additional measures may be needed to accommodate these needs. This should be done on a case- by-case basis.",,
0.9,0.9,unchanged,1.0,exact_number+difflib,"The fire safety requirements of the Building Regulations will probably be satisfied by following the relevant guidance in this approved document. However, approved documents provide guidance for some common building situations, and there may be alternative methods of complying with the Building Regulation requirements. If alternative methods are adopted, the overall level of safety should not be lower than the approved document provides. It is the responsibility of those undertaking the work to demonstrate compliance. If other standards or guidance documents are adopted, the relevant fire safety recommendations in those publications should be followed in their entirety. However, in some circumstances it may be necessary to use one publication to supplement another. Care must be taken when using supplementary guidance to ensure that an integrated approach is used in any one building. Guidance documents intended specifically for assessing fire safety in existing buildings often include less onerous provisions than those for new buildings and are therefore unlikely to be appropriate for building work that is controlled by the Building Regulations. Buildings for industrial and commercial activities that present a special fire hazard, e.g. those that sell fuels, may require additional fire precautions to those in this approved document.","The fire safety requirements of the Building Regulations will probably be satisfied by following the relevant guidance in this approved document. However, approved documents provide guidance for some common building situations, and there may be alternative methods of complying with the Building Regulation requirements. If alternative methods are adopted, the overall level of safety should not be lower than the approved document provides. It is the responsibility of those undertaking the work to demonstrate compliance. If other standards or guidance documents are adopted, the relevant fire safety recommendations in those publications should be followed in their entirety. However, in some circumstances it may be necessary to use one publication to supplement another. Care must be taken when using supplementary guidance to ensure that an integrated approach is used in any one building. Guidance documents intended specifically for assessing fire safety in existing buildings often include less onerous provisions than those for new buildings and are therefore unlikely to be appropriate for building work that is controlled by the Building Regulations. Buildings for industrial and commercial activities that present a special fire hazard, e.g. those that sell fuels, may require additional fire precautions to those in this approved document.",,
0.10,0.10,unchanged,1.0,exact_number+difflib,"Where Part B applies to existing buildings, particularly buildings of special architectural or historic interest for which the guidance in this document might prove too restrictive, some variation of the provisions in this document may be appropriate. In such cases, it is appropriate to assess the hazard and risk in the particular case and consider a range of fire safety features in that context.","Where Part B applies to existing buildings, particularly buildings of special architectural or historic interest for which the guidance in this document might prove too restrictive, some variation of the provisions in this document may be appropriate. In such cases, it is appropriate to assess the hazard and risk in the particular case and consider a range of fire safety features in that context.",,
0.11,0.11,unchanged,1.0,exact_number+difflib,"While many of the provisions in this approved document for means of escape from flats are applicable to sheltered housing, the nature of the occupancy may necessitate some additional fire protection measures. The extent of such measures will depend on the form of the development. For example, a group of specially adapted bungalows or two storey flats, with few communal facilities, will not need to be treated differently from other single storey or two storey dwellinghouses or flats.","While many of the provisions in this approved document for means of escape from flats are applicable to sheltered housing, the nature of the occupancy may necessitate some additional fire protection measures. The extent of such measures will depend on the form of the development. For example, a group of specially adapted bungalows or two storey flats, with few communal facilities, will not need to be treated differently from other single storey or two storey dwellinghouses or flats.",,
0.12,0.12,unchanged,1.0,exact_number+difflib,Fire safety engineering might provide an alternative approach to fire safety. Fire safety engineering may be the only practical way to achieve a satisfactory standard of fire safety in some complex buildings and in buildings that contain different uses. Fire safety engineering may also be suitable for solving a specific problem with a design that otherwise follows the provisions in this document.,Fire safety engineering might provide an alternative approach to fire safety. Fire safety engineering may be the only practical way to achieve a satisfactory standard of fire safety in some complex buildings and in buildings that contain different uses. Fire safety engineering may also be suitable for solving a specific problem with a design that otherwise follows the provisions in this document.,,
0.15,0.15,unchanged,1.0,exact_number+difflib,"Where a building or compartment has more than one use, it is appropriate to assign each different use to its own purpose group in the following situations. a. If the ancillary use is a flat. b. If both of the following apply. i. The building or compartment has an area of more than 280m2. ii. The ancillary use relates to an area that is more than one-fifth of the total floor area of the building or compartment. c. In ‘shop and commercial’ (purpose group 4) buildings or compartments, if the ancillary use is storage and both of the following apply. i. The building or compartment has an area of more than 280m2. ii. The storage area comprises more than one-third of the total floor area of the building or compartment.","Where a building or compartment has more than one use, it is appropriate to assign each different use to its own purpose group in the following situations. a. If the ancillary use is a flat. b. If both of the following apply. i. The building or compartment has an area of more than 280m2. ii. The ancillary use relates to an area that is more than one-fifth of the total floor area of the building or compartment. c. In ‘shop and commercial’ (purpose group 4) buildings or compartments, if the ancillary use is storage and both of the following apply. i. The building or compartment has an area of more than 280m2. ii. The storage area comprises more than one-third of the total floor area of the building or compartment.",,
0.18,0.18,unchanged,1.0,exact_number+difflib,This approved document includes reference to selected guidance for buildings other than consulted in addition to the guidance contained in this approved document.,This approved document includes reference to selected guidance for buildings other than consulted in addition to the guidance contained in this approved document.,,
