old_clause_number,new_clause_number,predicted_change_type,similarity,method,old_text,new_text,gold_change_type,notes
12.1,12.1,modified,0.945,exact_number+difflib,"to 12.3 Cavity barriers Diagram 2.3 Small residential buildings Diagram 11.7 See also Loft conversions Residential (institutional) purpose group 1.13, Rooftop plant Table 0.1 Height of top storey in building Diagram D6 Residential use Rooms Purpose groups Table 0.1 Definition Appendix A 163 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N O N L I N E V E R S I O N S Smoke alarms Access rooms 2.12, 3.8 Safety signs and signals Circulation spaces 1.9 Fire doors Appendix C11 Material alterations 1.9 Seals Multi-storey flats 3.21 Proprietary pipe seals 9.3 Power supply 1.4 Security Standards 1.2 Compatibility with escape 3.77, 3.91–3.92 Smoke and fumes Self‑closing devices Smoke leakage of fire doors Appendix C1 to C2, Common corridors 3.35–3.36 Table C1 Definition Appendix A Smoke control External escape stairs 3.68 Common escape routes 3.49–3.54 Fire doorsets 3.36, Appendix C5 to C6 Compatibility with ventilation and air- See also Automatic release mechanisms conditioning systems 9.11 Semi‑detached houses By pressure differentials 3.54 B3 requirement page 49, 5.5 Smoke detectors Separated parts of buildings Extract ductwork 9.9 Compartment walls 7.9 Fire and smoke damper activation 9.14, 9.22 Definition Appendix A Smoke outlets Separation distances Free area of smoke ventilators Appendix D5, Buildings with sprinkler systems 11.21 Diagram D7 Canopies 11.12–11.13, Diagram 11.6 Mechanical 16.11–16.12 Roofs 11.14, 12.3–12.9, Table 12.1 Natural 16.5–16.10 See also Unprotected areas Outlet ducts or shafts 16.13–16.14 Service openings Provision 16.1–16.12 See Openings Space separation Shafts See Separation distances See Firefighting shafts; Protected shafts Specified attachments 10.9–10.15 Sheltered housing 0.11, 0.17 Definition Appendix A Central alarm monitoring 1.12 Spiral stairs 3.86 Definition Appendix A Sprinkler systems Appendix E Fire detection and alarm systems 1.12–1.13 Basement storeys 16.11 Shop and commercial purpose group Table 0.1 As a compensatory feature Appendix E4 Showers Dwellinghouses with floor more than 4.5m above Inner rooms 2.11, 3.7 ground level 2.6 Single storey buildings Appendix B26 to B27 Effect on boundary distance and permitted Definition Appendix A unprotected area 11.21 Minimum periods of fire resistance Table B4 Effect on hose laying distance 15.7, Diagram 15.3 Site (of a building) Effect on minimum periods of fire resistance Definition Appendix A Table B4 Skirtings Loft conversions 2.23 Definition of walls 4.3 Multi-storey flats 3.21, 7.4 Slates and tiles Portal frames 11.15 Fire-stopping of junctions 5.22 Provision Appendix E2 to E4 Sleeving for pipes 9.5, Diagram 9.2 Water supplies and pumps Appendix E5 to E6 Sloping floors 3.40 164 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N Stability T B3 requirement page 49 See also Integrity Tension‑membrane roofs and structures 4.9 Stairs Terrace houses Width measurement Appendix D4 B3 requirement page 49, 5.5 See also Common stairs; Escape stairs; Protected Thatch 12.9 stairways Thermal radiation Standard fire tests See Heat radiation See Fire performance Thermoplastic materials Standby power supplies 1.4 Classification Appendix B13 Storage and other non‑residential purpose Definition Appendix A group Table 0.1 Fire performance Appendix B11 to B14 Storey exits 2.13, 3.10, 3.30, 3.35, Diagram 2.5 Glazing 4.13 Definition Appendix A Insulated roof sheeting 5.14 Storeys Lighting diffusers Definition Appendix A Forming part of a ceiling 4.15–4.16, Diagram 4.1 Height of top storey Diagram D6 Layout restrictions Diagrams 4.2 to 4.3 Number Diagram D5 Suspended ceilings 4.17, Appendix B12, Table 4.2 Stretched‑skin ceilings Rooflights 4.14, 5.12 Thermoplastic material 4.17 Layout restrictions Diagrams 4.2 to 4.3 Structural frames Limitations on spacing and size Diagram 12.1 Fire resistance Table B3 Limitations on use 12.6, Table 4.2, Table 12.3 Structural loadbearing elements Suspended or stretched-skin ceiling 4.17 See Elements of structure Windows 4.13 Student accommodation Tiles and slates Fire detection and alarm systems 1.11 Fire-stopping of junctions 5.22 Stud walls Toilets 2.11, 3.7 Cavity barriers 5.21 Escape lighting 3.42 See also Partitions Trap doors Substrates Definition of ceiling 4.6 Fire tests Appendix B8 Travel distance Lining to wall or ceiling Appendix B14 Common corridors Diagrams 3.7 to 3.8, Table 3.1 Roof coverings 5.13, 7.16, Diagram 5.2 Definition Appendix A Suppliers Measurement methods Appendix D3 Accreditation page iii Single storey flats 3.18, Diagram 3.3 Suspended ceilings Turning circles Definition Appendix A Fire service vehicle access route specification Insulating core panels 4.10 13.4, Diagram 13.1, Table 13.1 Lighting diffusers 4.15–4.16, Appendix B12, Turntable ladders Diagrams 4.1 to 4.3, Table 4.2 See High reach appliances Thermoplastic material 4.17 165 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N O N L I N E V E R S I O N U W Unprotected areas Walls Areas disregarded in assessing separation distance Cavity barriers in stud walls or partitions 5.21 11.11, Diagram 11.5 Definition 4.2–4.3 Calculation of acceptable unprotected area Elements of structure 5.3, 6.2 11.16–11.20, Table 11.1 Fire resistance 8.3, Table B3 Effect of sprinkler systems 11.21 See also Cavity walls; Compartment walls; Definition 11.6–11.7, Appendix A External walls; Internal linings External wall 1000mm or more from relevant Water supplies boundary 11.9 Firefighting 14.12–14.13 Permitted unprotected areas 11.11, Diagram 11.7, Sprinkler systems Appendix E5 to E6 Table 11.1 Water supply pipes External walls of protected stairways 11.10 Enclosure Diagram 9.1 External wall within 1000mm of relevant Windows boundary 11.8 Definition of walls and ceilings 4.2–4.3, 4.5–4.6 Fire resistance 11.6–11.7, Diagram 11.4 Emergency egress 2.10, 3.6 Small unprotected areas 11.11, Diagram 11.5 Replacement 2.18–2.20 Space separation Diagram 11.1 Thermoplastic materials 4.13 uPVC See also Glazing; Rooflights Rooflights 12.7, Tables 12.1 to 12.3 Wiring TP(a) rigid sheet Appendix B13 See Electrical wiring Utility rooms Wood shingles 12.9 Inner rooms 2.11, 3.7 Workmanship and materials page iii Regulation 7 pages 76–77 V Vehicle access See Fire service facilities Ventilation Protected shafts 7.28 Smoke control 3.49–3.54 Ventilation ducts 9.6–9.22 Appliances 9.23 Openings in compartment walls or floors 7.20 Passing through fire-separating elements 9.12–9.22 Protected escape routes 9.16–9.17, Diagrams 9.3 to 9.4 Protected shafts 7.26 Protected stairways and entrance halls 2.9, 3.23 Vertical escape See Escape stairs; Protected stairways Vision panels 3.97 166 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N O N L I N E V E R S I O N O N L I N E V E R S I O N List of approved documents The following documents have been published to give guidance on how to meet the Building Regulations. You can find the date of the edition approved by the Secretary of State at www.gov.uk. Approved Document A Approved Document L2B Structure Conservation of fuel and power in existing buildings other than dwellings Approved Document B Fire safety Approved Document M Volume 1: Dwellings Access to and use of buildings Volume 1: Dwellings Approved Document B Fire safety Approved Document M Volume 2: Buildings other than dwellings Access to and use of buildings Volume 2: Buildings other than dwellings Approved Document C Site preparation and resistance to Approved Document P contaminants and moisture Electrical safety – Dwellings Approved Document D Approved Document Q Toxic substances Security – Dwellings Approved Document E Approved Document 7 Resistance to the passage of sound Materials and workmanship Approved Document F Ventilation Approved Document G Sanitation, hot water safety and water efficiency Approved Document H Drainage and waste disposal Approved Document J Combustion appliances and fuel storage systems Approved Document K Protection from falling, collision and impact Approved Document L1A Conservation of fuel and power in new dwellings Approved Document L1B Conservation of fuel and power in existing dwellings Approved Document L2A Conservation of fuel and power in new buildings other than dwellings O N L I N E V E R S I O N O N L I N E V E R S I O N The Building Regulations 2010, Approved Documents are available from: RIBA Books Online: www.architecture.com/ribabooks Telephone: +44 (0)20 7496 8383 Email: sales@books.architecture.com ISBN 978 1 85946 915 6 © Crown Copyright 2019 The content of this publication, excluding logos, may be If you require this publication in an alternative format, reproduced free of charge in any format or medium for please email: alternativeformats@communities.gov.uk. research, private study or for internal circulation within Copyright in the typographical arrangement, excluding an organisation. This is subject to it being reproduced logos, of the cover and internal page layouts of this accurately and not used in a misleading context. The publication rests with the Publisher. material must be acknowledged as Crown copyright and the title and edition of the publication specified. This document/publication is value added. You may re-use the content (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit: http://www.nationalarchives.gov.uk/doc/open- government-licence/ or write to the Information Policy Team, The National Archives, Kew, London TW9 4DU, or e-mail: psi@nationalarchives.gov.uk. O N L I N E V E R S I O N","to 12.3 See also Loft conversions Small residential buildings Diagram 11.7 Rooftop plant Residential (institutional) purpose group 1.13, Height of top storey in building Diagram D6 Table 0.1 Rooms Residential use Definition Appendix A Purpose groups Table 0.1 164 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N S Smoke alarms Access rooms 2.12, 3.8 Safety signs and signals Circulation spaces 1.9 Fire doors Appendix C11 Material alterations 1.9 Seals Multi-storey flats 3.21 Proprietary pipe seals 9.3 Power supply 1.4 Security Standards 1.2 Compatibility with escape 3.77, 3.91–3.92 Smoke and fumes Self‑closing devices Smoke leakage of fire doors Appendix C1 to C2, Common corridors 3.35–3.36 Table C1 Definition Appendix A Smoke control External escape stairs 3.68 Common escape routes 3.49–3.54 Fire doorsets 3.36, Appendix C5 to C6 Compatibility with ventilation and air- See also Automatic release mechanisms conditioning systems 9.11 Semi‑detached houses By pressure differentials 3.54 B3 requirement page 49, 5.5 Smoke detectors Separated parts of buildings Extract ductwork 9.9 Compartment walls 7.9 Fire and smoke damper activation 9.14, 9.22 Definition Appendix A Smoke outlets Separation distances Free area of smoke ventilators Appendix D5, Buildings with sprinkler systems 11.21 Diagram D7 Canopies 11.12–11.13, Diagram 11.6 Mechanical 16.11–16.12 Roofs 11.14, 12.3–12.9, Table 12.1 Natural 16.5–16.10 See also Unprotected areas Outlet ducts or shafts 16.13–16.14 Service openings Provision 16.1–16.12 See Openings Space separation Shafts See Separation distances See Firefighting shafts; Protected shafts Specified attachments 10.9–10.15 Sheltered housing 0.11, 0.17 Definition Appendix A Central alarm monitoring 1.12 Spiral stairs 3.86 Definition Appendix A Sprinkler systems Appendix E Fire detection and alarm systems 1.12–1.13 Basement storeys 16.11 Shop and commercial purpose group Table 0.1 As a compensatory feature Appendix E4 Showers Dwellinghouses with floor more than 4.5m above Inner rooms 2.11, 3.7 ground level 2.6 Single storey buildings Appendix B26 to B27 Effect on boundary distance and permitted Definition Appendix A unprotected area 11.21 Minimum periods of fire resistance Table B4 Effect on hose laying distance 15.7, Diagram 15.3 Site (of a building) Effect on minimum periods of fire resistance Definition Appendix A Table B4 Skirtings Loft conversions 2.23 Definition of walls 4.3 Multi-storey flats 3.21, 7.4 Slates and tiles Portal frames 11.15 Fire-stopping of junctions 5.22 Provision Appendix E2 to E4 Sleeving for pipes 9.5, Diagram 9.2 Water supplies and pumps Appendix E5 to E6 Sloping floors 3.40 165 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N O N L I N E V E R S I O N Stability T B3 requirement page 49 See also Integrity Tension‑membrane roofs and structures 4.9 Stairs Terrace houses Width measurement Appendix D4 B3 requirement page 49, 5.5 See also Common stairs; Escape stairs; Protected Thatch 12.9 stairways Thermal radiation Standard fire tests See Heat radiation See Fire performance Thermoplastic materials Standby power supplies 1.4 Classification Appendix B13 Storage and other non‑residential purpose Definition Appendix A group Table 0.1 Fire performance Appendix B11 to B14 Storey exits 2.13, 3.10, 3.30, 3.35, Diagram 2.5 Glazing 4.13 Definition Appendix A Insulated roof sheeting 5.14 Storeys Lighting diffusers Definition Appendix A Forming part of a ceiling 4.15–4.16, Diagram 4.1 Height of top storey Diagram D6 Layout restrictions Diagrams 4.2 to 4.3 Number Diagram D5 Suspended ceilings 4.17, Appendix B12, Table 4.2 Stretched‑skin ceilings Rooflights 4.14, 5.12 Thermoplastic material 4.17 Layout restrictions Diagrams 4.2 to 4.3 Structural frames Limitations on spacing and size Diagram 12.1 Fire resistance Table B3 Limitations on use 12.6, Table 4.2, Table 12.3 Structural loadbearing elements Suspended or stretched-skin ceiling 4.17 See Elements of structure Windows 4.13 Student accommodation Tiles and slates Fire detection and alarm systems 1.11 Fire-stopping of junctions 5.22 Stud walls Toilets 2.11, 3.7 Cavity barriers 5.21 Escape lighting 3.42 See also Partitions Trap doors Substrates Definition of ceiling 4.6 Fire tests Appendix B8 Travel distance Lining to wall or ceiling Appendix B14 Common corridors Diagrams 3.7 to 3.8, Table 3.1 Roof coverings 5.13, 7.16, Diagram 5.2 Definition Appendix A Suppliers Measurement methods Appendix D3 Accreditation page iii Single storey flats 3.18, Diagram 3.3 Suspended ceilings Turning circles Definition Appendix A Fire service vehicle access route specification Insulating core panels 4.10 13.4, Diagram 13.1, Table 13.1 Lighting diffusers 4.15–4.16, Appendix B12, Turntable ladders Diagrams 4.1 to 4.3, Table 4.2 See High reach appliances Thermoplastic material 4.17 166 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N U W Unprotected areas Walls Areas disregarded in assessing separation distance Cavity barriers in stud walls or partitions 5.21 11.11, Diagram 11.5 Definition 4.2–4.3 Calculation of acceptable unprotected area Elements of structure 5.3, 6.2 11.16–11.20, Table 11.1 Fire resistance 8.3, Table B3 Effect of sprinkler systems 11.21 See also Cavity walls; Compartment walls; Definition 11.6–11.7, Appendix A External walls; Internal linings External wall 1000mm or more from relevant Water supplies boundary 11.9 Firefighting 14.12–14.13 Permitted unprotected areas 11.11, Diagram 11.7, Sprinkler systems Appendix E5 to E6 Table 11.1 Water supply pipes External walls of protected stairways 11.10 Enclosure Diagram 9.1 External wall within 1000mm of relevant Wayfinding signage 15.13–15.16 boundary 11.8 Windows Fire resistance 11.6–11.7, Diagram 11.4 Definition of walls and ceilings 4.2–4.3, 4.5–4.6 Small unprotected areas 11.11, Diagram 11.5 Emergency egress 2.10, 3.6 Space separation Diagram 11.1 Replacement 2.18–2.20 uPVC Thermoplastic materials 4.13 Rooflights 12.7, Tables 12.1 to 12.3 See also Glazing; Rooflights TP(a) rigid sheet Appendix B13 Wiring Utility rooms See Electrical wiring Inner rooms 2.11, 3.7 Wood shingles 12.9 Workmanship and materials page iii V Regulation 7 pages 76–77 Vehicle access See Fire service facilities Ventilation Protected shafts 7.28 Smoke control 3.49–3.54 Ventilation ducts 9.6–9.22 Appliances 9.23 Openings in compartment walls or floors 7.20 Passing through fire-separating elements 9.12–9.22 Protected escape routes 9.16–9.17, Diagrams 9.3 to 9.4 Protected shafts 7.26 Protected stairways and entrance halls 2.9, 3.23 Vertical escape See Escape stairs; Protected stairways Vision panels 3.97 167 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N O N L I N E V E R S I O N List of approved documents The following documents have been published to give guidance on how to meet the Building Regulations. You can find the date of the edition approved by the Secretary of State at www.gov.uk. Approved Document A Approved Document L2B Structure Conservation of fuel and power in existing buildings other than dwellings Approved Document B Fire safety Approved Document M Volume 1: Dwellings Access to and use of buildings Volume 1: Dwellings Approved Document B Fire safety Approved Document M Volume 2: Buildings other than dwellings Access to and use of buildings Volume 2: Buildings other than dwellings Approved Document C Site preparation and resistance to Approved Document P contaminants and moisture Electrical safety – Dwellings Approved Document D Approved Document Q Toxic substances Security – Dwellings Approved Document E Approved Document 7 Resistance to the passage of sound Materials and workmanship Approved Document F Ventilation Approved Document G Sanitation, hot water safety and water efficiency Approved Document H Drainage and waste disposal Approved Document J Combustion appliances and fuel storage systems Approved Document K Protection from falling, collision and impact Approved Document L1A Conservation of fuel and power in new dwellings Approved Document L1B Conservation of fuel and power in existing dwellings Approved Document L2A Conservation of fuel and power in new buildings other than dwellings O N L I N E V E R S I O N O N L I N E V E R S I O N The Building Regulations 2010, Approved Documents are available from: RIBA Books Online: www.architecture.com/ribabooks Telephone: +44 (0)20 7496 8383 Email: sales@books.architecture.com ISBN 978 1 914124 02 0 © Crown Copyright 2020 The content of this publication, excluding logos, may be If you require this publication in an alternative format, reproduced free of charge in any format or medium for please email: alternativeformats@communities.gov.uk. research, private study or for internal circulation within Copyright in the typographical arrangement, excluding an organisation. This is subject to it being reproduced logos, of the cover and internal page layouts of this accurately and not used in a misleading context. The publication rests with the Publisher. material must be acknowledged as Crown copyright and the title and edition of the publication specified. This document/publication is value added. You may re-use the content (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit: http://www.nationalarchives.gov.uk/doc/open- government-licence/ or write to the Information Policy Team, The National Archives, Kew, London TW9 4DU, or e-mail: psi@nationalarchives.gov.uk. ISBN 978-1-914124-02-0 9 781914 124020 O N L I N E V E R S I O N",modified,
,15.13,added,0.0,no_candidate,,"To assist the fire service to identify each floor in a block of flats with a top storey more than 11m above ground level (see Diagram D6), floor identification signs and flat indicator signs should be provided.",added,
3.83,3.83,unchanged,1.0,exact_number+difflib,Further guidance on the construction of firefighting stairs is given in Section 15 (see also paragraph 3.60). Dimensional constraints on the design of stairs are given in Approved Document K. Single steps,Further guidance on the construction of firefighting stairs is given in Section 15 (see also paragraph 3.60). Dimensional constraints on the design of stairs are given in Approved Document K. Single steps,unchanged,
15.12,15.12,modified,0.653,exact_number+difflib,"The fire and rescue service should be able to manually open and close rolling shutters without the use of a ladder. 105 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N B5 O N L I N E V E R S I O N",The fire and rescue service should be able to manually open and close rolling shutters without the use of a ladder. Wayfinding signage for the fire service,modified,
7.4,7.4,modified,0.725,exact_number+difflib,"Blocks of flats with a floor more than 30m above ground level should be fitted with a sprinkler system throughout the building in accordance with Appendix E. NOTE: Sprinklers are not required in the common areas such as stairs, corridors or landings when these areas are fire sterile. Construction of compartment walls and compartment floors General provisions","Blocks of flats with a top storey more than 11m above ground level (see Diagram D6) should be fitted with a sprinkler system throughout the building in accordance with Appendix E. NOTE: Sprinklers should be provided within the individual flats, they do not need to be provided in the common areas such as stairs, corridors or landings when these areas are fire sterile. Construction of compartment walls and compartment floors General provisions",modified,
,15.16,added,0.0,no_candidate,,"All floor identification signs should be supplemented by flat indicator signs, which provide information relating to the flats accessed on each storey. The flat indicator signs should meet all of the following conditions. a. The signs should be sited immediately below the floor identification signs, such that the top edge of the sign is no more than 50mm below the bottom edge of the floor identification sign. b. The wording should take the form Flats X–Y, with the lowest flat number first. c. The text should be in sans serif typeface with a letter height of at least half that of the floor indicator sign. d. The wording should be supplemented by arrows when flats are in more than one direction. e. The text and arrows should be on a contrasting background, easily legible and readable in low level lighting conditions or when illuminated with a torch. NOTE: In the case of multi-storey flats with two or more entrances, the flat number should only be indicated on the normal access storey. 106 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B5",added,
2.23,2.23,unchanged,1.0,exact_number+difflib,"An alternative approach to that described in paragraph 2.21 would be to comply with all of the following. a. Provide sprinkler protection to the open-plan areas. b. Provide a fire resisting partition (minimum REI 30) and door (minimum E 20) to separate the ground storey from the upper storeys. The door should allow occupants of the loft room access to a first storey escape window. c. Separate cooking facilities from the open-plan area with fire resisting construction (minimum REI 30). 18 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B1","An alternative approach to that described in paragraph 2.21 would be to comply with all of the following. a. Provide sprinkler protection to the open-plan areas. b. Provide a fire resisting partition (minimum REI 30) and door (minimum E 20) to separate the ground storey from the upper storeys. The door should allow occupants of the loft room access to a first storey escape window. c. Separate cooking facilities from the open-plan area with fire resisting construction (minimum REI 30). 18 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B1",unchanged,
6.7,6.7,unchanged,1.0,exact_number+difflib,"In a converted building with four or more storeys, the full standard of fire resistance given in Appendix B is necessary. 58 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B3","In a converted building with four or more storeys, the full standard of fire resistance given in Appendix B is necessary. 58 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B3",unchanged,
7.14,7.14,unchanged,1.0,exact_number+difflib,"Compartment walls should be able to accommodate deflection of the floor, when exposed to fire, by either of the following means. a. Between the wall and floor, provide a head detail that is capable of maintaining its integrity while deforming. b. Design the wall so it maintains its integrity by resisting the additional vertical load from the floor above. Where compartment walls are located within the middle half of a floor between vertical supports, the deflection may be assumed to be 40mm unless a smaller value can be justified by assessment. Outside this area, the limit can be reduced linearly to zero at the supports. For steel beams that do not have the required fire resistance, reference should be made to SCI Publication P288. Junction of compartment wall with roof","Compartment walls should be able to accommodate deflection of the floor, when exposed to fire, by either of the following means. a. Between the wall and floor, provide a head detail that is capable of maintaining its integrity while deforming. b. Design the wall so it maintains its integrity by resisting the additional vertical load from the floor above. Where compartment walls are located within the middle half of a floor between vertical supports, the deflection may be assumed to be 40mm unless a smaller value can be justified by assessment. Outside this area, the limit can be reduced linearly to zero at the supports. For steel beams that do not have the required fire resistance, reference should be made to SCI Publication P288. Junction of compartment wall with roof",unchanged,
9.5,9.5,unchanged,1.0,exact_number+difflib,"A pipe with a maximum nominal internal diameter of 160mm may be used with a sleeve made out of a high melting point metal, as shown in Diagram 9.2, if the pipe is made of one of the following. a. Lead. b. Aluminium. c. Aluminium alloy. d. Fibre-cement. e. uPVC (pipes should also comply with either BS 4514 or BS 5255). A high melting point metal means any metal (such as cast iron, copper or steel) which, if exposed to a temperature of 800°C, will not soften or fracture to the extent that flame or hot gas will pass through the wall of the pipe. 69 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N B3 O N L I N E V E R S I O N See para 9.4 and Table 9.1 See para 9.4 and Table 9.1 Stack pipe NOTES: Casing Compartment wall 1. The enclosure should meet all of the following Compartment floor conditions. carried through to a. Be bounded by a compartment wall or floor, an seal enclosure – outside wall, an intermediate floor or a casing provide fire-stopping (see specification at 2 below). between stack pipe Enclosure b. Have internal surfaces (except framing members) and floor Branch pipe of class B-s3, d2 or better. Note: when a classification includes ‘s3, d2’, this means that there is no limit set for smoke Intermediate floor production and/or flaming droplets/particles). carried through to c. Not have an access panel which opens into a seal enclosure – Enclosure circulation space or bedroom. provide fire-stopping d. Be used only for drainage or water supply or vent between stack pipe pipes for a drainage system. and floor Compartment floor 2. The casing should meet all the following conditions. a. Be imperforate except for an opening for a pipe or an access panel. b Not be of sheet metal. c. Not have fire resistance less than E 30 Casing (including any access panel). Enclosure 3. The opening for a pipe, in either the element of Fire-stopping around pipe structure or the casing, should be as small as Compartment floor or wall possible and fire-stopped around the pipe. Diagram 9.1 Enclosure for drainage or water supply pipes See para 9.5 Structure Not less than Not less than NOTES: 1000mm 1000mm 1. Make the opening in the structure as small as possible and provide fire-stopping between pipe and structure. Pipe specification (b) Sleeve (or pipe) 2. See Table 9.1 for materials specification. of specification (a) to be in contact 3. The sleeve should be class A1 rated. with pipe Diagram 9.2 Pipes penetrating structure 70 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B3 Table 9.1 M aximum nominal internal diameter of pipes passing through a compartment wall/floor Situation Pipe material and maximum nominal internal diameter (mm) (a) (b) (c) High melting point Lead, aluminium, Any other material metal(1) aluminium alloy, uPVC,(2) fibre cement 1. Structure (but not a wall separating 160 110 40 buildings) enclosing a protected shaft that is not a stair or a lift shaft 2. Compartment wall or compartment floor 160 160 (stack pipe)(3) 40 between flats 110 (branch pipe)(3) 3. Wall separating dwellinghouses 160 160 (stack pipe)(3) 40 110 (branch pipe)(3) 4. Wall or floor separating a dwellinghouse 160 110 40 from an attached garage 5. Any other situation 160 40 40 NOTES: 1. Any metal (such as cast iron, copper or steel) which, if exposed to a temperature of 800°C, will not soften or fracture to the extent that flame or hot gas will pass through the wall of the pipe. 2. uPVC pipes that comply with either BS 4514 or BS 5255. 3. These diameters are only in relation to pipes that form part of an above-ground drainage system and are enclosed as shown in Diagram 9.1. In other cases, the maximum diameters given for situation 5 apply. Mechanical ventilation and air‑conditioning systems General provisions","A pipe with a maximum nominal internal diameter of 160mm may be used with a sleeve made out of a high melting point metal, as shown in Diagram 9.2, if the pipe is made of one of the following. a. Lead. b. Aluminium. c. Aluminium alloy. d. Fibre-cement. e. uPVC (pipes should also comply with either BS 4514 or BS 5255). A high melting point metal means any metal (such as cast iron, copper or steel) which, if exposed to a temperature of 800°C, will not soften or fracture to the extent that flame or hot gas will pass through the wall of the pipe. 69 Building Regulations 2010 Approved Document B Volume 1, 2019 edition O N L I N E V E R S I O N B3 O N L I N E V E R S I O N See para 9.4 and Table 9.1 See para 9.4 and Table 9.1 Stack pipe NOTES: Casing Compartment wall 1. The enclosure should meet all of the following Compartment floor conditions. carried through to a. Be bounded by a compartment wall or floor, an seal enclosure – outside wall, an intermediate floor or a casing provide fire-stopping (see specification at 2 below). between stack pipe Enclosure b. Have internal surfaces (except framing members) and floor Branch pipe of class B-s3, d2 or better. Note: when a classification includes ‘s3, d2’, this means that there is no limit set for smoke Intermediate floor production and/or flaming droplets/particles). carried through to c. Not have an access panel which opens into a seal enclosure – Enclosure circulation space or bedroom. provide fire-stopping d. Be used only for drainage or water supply or vent between stack pipe pipes for a drainage system. and floor Compartment floor 2. The casing should meet all the following conditions. a. Be imperforate except for an opening for a pipe or an access panel. b Not be of sheet metal. c. Not have fire resistance less than E 30 Casing (including any access panel). Enclosure 3. The opening for a pipe, in either the element of Fire-stopping around pipe structure or the casing, should be as small as Compartment floor or wall possible and fire-stopped around the pipe. Diagram 9.1 Enclosure for drainage or water supply pipes See para 9.5 Structure Not less than Not less than NOTES: 1000mm 1000mm 1. Make the opening in the structure as small as possible and provide fire-stopping between pipe and structure. Pipe specification (b) Sleeve (or pipe) 2. See Table 9.1 for materials specification. of specification (a) to be in contact 3. The sleeve should be class A1 rated. with pipe Diagram 9.2 Pipes penetrating structure 70 Approved Document B Volume 1, 2019 edition Building Regulations 2010 O N L I N E V E R S I O N O N L I N E V E R S I O N B3 Table 9.1 M aximum nominal internal diameter of pipes passing through a compartment wall/floor Situation Pipe material and maximum nominal internal diameter (mm) (a) (b) (c) High melting point Lead, aluminium, Any other material metal(1) aluminium alloy, uPVC,(2) fibre cement 1. Structure (but not a wall separating 160 110 40 buildings) enclosing a protected shaft that is not a stair or a lift shaft 2. Compartment wall or compartment floor 160 160 (stack pipe)(3) 40 between flats 110 (branch pipe)(3) 3. Wall separating dwellinghouses 160 160 (stack pipe)(3) 40 110 (branch pipe)(3) 4. Wall or floor separating a dwellinghouse 160 110 40 from an attached garage 5. Any other situation 160 40 40 NOTES: 1. Any metal (such as cast iron, copper or steel) which, if exposed to a temperature of 800°C, will not soften or fracture to the extent that flame or hot gas will pass through the wall of the pipe. 2. uPVC pipes that comply with either BS 4514 or BS 5255. 3. These diameters are only in relation to pipes that form part of an above-ground drainage system and are enclosed as shown in Diagram 9.1. In other cases, the maximum diameters given for situation 5 apply. Mechanical ventilation and air‑conditioning systems General provisions",unchanged,
